amount,type_encoded,location_encoded,time_encoded,channel_encoded,balance_before,balance_after,is_weekend,client_age_group,is_fraud
4854664,1,4,10,0,2063883,6918547,0,0,0
55856267,0,2,19,0,5657947,-50198320,0,2,1
32068291,0,1,5,1,69358761,37290470,0,2,0
15899452,0,0,15,0,21420793,5521341,0,0,0
3531477,1,0,19,0,50207869,53739346,0,0,1
49109351,0,0,11,1,35709220,-13400131,0,0,0
7996647,1,0,2,0,51689443,59686090,0,1,0
41417169,1,1,12,0,42585980,84003149,1,0,0
7853893,0,2,16,0,48183974,40330081,0,2,0
43265399,1,4,0,1,21390785,64656184,0,2,1
20783088,0,3,5,1,11666612,-9116476,0,2,0
3206262,1,4,11,0,77109304,80315566,1,0,0
37698493,0,4,19,0,37691483,-7010,1,2,1
7018913,0,0,4,0,80984465,73965552,0,2,0
9676880,1,1,17,1,49507548,59184428,0,1,1
32277414,1,1,12,0,2977108,35254522,1,2,0
15669949,0,4,19,1,5834073,-9835876,1,2,1
56604127,0,3,11,0,39931248,-16672879,1,2,1
34873480,1,3,2,0,27922807,62796287,0,0,0
49932428,0,4,11,0,6555880,-43376548,1,1,0
19104301,1,1,17,1,54004644,73108945,1,0,1
12168312,0,5,8,1,11891593,-276719,1,1,0
28051638,1,4,14,1,1376886,29428524,1,1,1
31925591,0,5,16,1,72368446,40442855,0,1,0
12982303,1,3,8,1,4169741,17152044,1,2,1
6224435,0,2,9,0,83106775,76882340,1,2,0
15668789,0,4,11,1,18734658,3065869,0,1,0
13746395,0,4,11,0,62531583,48785188,1,2,0
23787131,0,2,14,0,25523081,1735950,1,0,0
55181259,0,2,17,1,67912631,12731372,0,0,1
35437565,1,4,12,1,86655460,122093025,0,0,1
48251619,1,4,22,1,72579716,120831335,1,0,1
37520112,1,5,7,1,11757976,49278088,0,2,1
32714068,1,5,5,0,69406146,102120214,0,0,1
52201167,1,1,8,1,7175999,59377166,1,0,1
51330553,1,4,23,0,12166934,63497487,0,1,1
39412878,0,5,8,1,32973591,-6439287,0,0,0
12150564,1,4,15,0,42600364,54750928,1,1,0
54589638,1,5,18,0,32491819,87081457,1,2,1
10769213,0,4,6,1,25202133,14432920,0,2,0
51420610,1,3,19,0,52188149,103608759,1,2,1
7585104,1,2,5,1,83613472,91198576,0,0,1
